timestamp,event_type,priority,function,subfunction,node_id,len,d0,d1,d2,d3,d4,d5,d6,d7,
1584317951333201,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,
1584317951333212,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317951383198,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,
1584317951383210,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317951433198,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x02,0x00,0x00,0x00,0x00,0x00,0x00,
1584317951433210,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317951483195,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x03,0x00,0x00,0x00,0x00,0x00,0x00,
1584317951483206,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317951533192,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x04,0x00,0x00,0x00,0x00,0x00,0x00,
1584317951533202,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317951583191,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x05,0x00,0x00,0x00,0x00,0x00,0x00,
1584317951583202,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317951633192,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x06,0x00,0x00,0x00,0x00,0x00,0x00,
1584317951633203,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317951683192,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x07,0x00,0x00,0x00,0x00,0x00,0x00,
1584317951683202,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317951733194,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x08,0x00,0x00,0x00,0x00,0x00,0x00,
1584317951733205,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317951783194,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x09,0x00,0x00,0x00,0x00,0x00,0x00,
1584317951783205,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317951833192,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x0A,0x00,0x00,0x00,0x00,0x00,0x00,
1584317951833203,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317951883191,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x0B,0x00,0x00,0x00,0x00,0x00,0x00,
1584317951883203,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317951933193,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,
1584317951933203,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317951983192,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x0D,0x00,0x00,0x00,0x00,0x00,0x00,
1584317951983204,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317952033189,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x0E,0x00,0x00,0x00,0x00,0x00,0x00,
1584317952033199,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584317952083190,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x0F,0x00,0x00,0x00,0x00,0x00,0x00,
1584317952083201,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
