timestamp,event_type,priority,function,subfunction,node_id,d0,d1,d2,d3,d4,d5,d6,d7,
1584296466985029,MSG_RX,0x00,0xf0,0xf1,0x34,1,0x00,,,,,,,,
,0x00,0x00,0x00,0x00,0x00,0x00,
1584296783705236,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584296833695232,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,
1584296833705232,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584296883695232,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x02,0x00,0x00,0x00,0x00,0x00,0x00,
1584296883705233,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584296933695231,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x03,0x00,0x00,0x00,0x00,0x00,0x00,
1584296933705231,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584296983695230,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x04,0x00,0x00,0x00,0x00,0x00,0x00,
1584296983705231,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584297033695232,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x05,0x00,0x00,0x00,0x00,0x00,0x00,
1584297033705233,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584297083695230,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x06,0x00,0x00,0x00,0x00,0x00,0x00,
1584297083705232,MSG_RX,0x01,0xf4,0xd0,0x10,6,0xFE,0xDE,0xBE,0xBE,0xCA,0xFE,0x00,0x00,
1584297133695231,MSG_RX,0x00,0xf0,0xf1,0x34,2,0x00,0x07,0x00,0x00,0x00,0x00,0x00,0x00,
